timestamp,emotion,confidence,angry,disgust,fear,happy,sad,surprise,neutral
2026-03-05T13:40:40.848726,sad,0.37,0.2,0.0,0.11,0.1,0.37,0.06,0.16
2026-03-05T13:40:40.855558,sad,0.37,0.2,0.0,0.11,0.1,0.37,0.06,0.16
2026-03-05T13:40:41.024290,sad,0.38,0.2,0.0,0.1167,0.0867,0.38,0.06,0.1567
2026-03-05T13:40:41.033701,sad,0.385,0.2,0.0,0.12,0.08,0.385,0.06,0.155
2026-03-05T13:40:41.112226,sad,0.384,0.204,0.0,0.116,0.078,0.384,0.062,0.154
2026-03-05T13:40:41.127664,sad,0.386,0.208,0.0,0.114,0.072,0.386,0.064,0.152
2026-03-05T13:40:41.525158,sad,0.394,0.2,0.0,0.112,0.066,0.394,0.062,0.16
2026-03-05T13:40:41.532714,sad,0.396,0.192,0.0,0.106,0.068,0.396,0.06,0.17
2026-03-05T13:40:41.824957,sad,0.394,0.194,0.0,0.096,0.088,0.394,0.054,0.166
2026-03-05T13:40:41.831838,sad,0.396,0.192,0.0,0.092,0.106,0.396,0.046,0.162
2026-03-05T13:40:41.880950,sad,0.374,0.196,0.0,0.094,0.122,0.374,0.052,0.158
2026-03-05T13:40:41.891447,sad,0.346,0.212,0.0,0.096,0.138,0.346,0.062,0.144
2026-03-05T13:40:41.938507,sad,0.328,0.244,0.0,0.096,0.138,0.328,0.062,0.132
2026-03-05T13:40:41.945091,sad,0.314,0.266,0.0,0.1,0.12,0.314,0.066,0.134
2026-03-05T13:40:42.440415,sad,0.3,0.274,0.0,0.098,0.114,0.3,0.068,0.146
2026-03-05T13:40:42.457429,sad,0.31,0.276,0.0,0.09,0.11,0.31,0.056,0.158
2026-03-05T13:40:43.323882,sad,0.328,0.25,0.0,0.08,0.104,0.328,0.044,0.194
2026-03-05T13:40:43.337536,sad,0.336,0.208,0.0,0.072,0.114,0.336,0.042,0.228
2026-03-05T13:40:43.728599,sad,0.34,0.192,0.0,0.072,0.12,0.34,0.044,0.228
2026-03-05T13:40:43.736828,sad,0.344,0.19,0.0,0.078,0.114,0.344,0.048,0.218
2026-03-05T13:40:44.222680,sad,0.358,0.188,0.0,0.084,0.106,0.358,0.052,0.206
2026-03-05T13:40:44.230255,sad,0.364,0.214,0.0,0.092,0.1,0.364,0.056,0.17
2026-03-05T13:40:46.406541,sad,0.382,0.218,0.0,0.094,0.092,0.382,0.064,0.144
2026-03-05T13:40:46.414144,sad,0.404,0.196,0.0,0.088,0.088,0.404,0.068,0.152
2026-03-05T13:40:46.895025,sad,0.428,0.19,0.0,0.08,0.074,0.428,0.062,0.164
2026-03-05T13:40:46.899797,sad,0.442,0.184,0.0,0.072,0.062,0.442,0.056,0.178
2026-03-05T13:40:51.363264,sad,0.436,0.186,0.0,0.07,0.068,0.436,0.05,0.182
2026-03-05T13:40:51.372295,sad,0.418,0.21,0.0,0.074,0.076,0.418,0.04,0.176
2026-03-05T13:40:51.572192,sad,0.4,0.24,0.0,0.078,0.074,0.4,0.04,0.162
2026-03-05T13:40:51.577544,sad,0.38,0.254,0.0,0.084,0.082,0.38,0.05,0.144
2026-03-05T13:40:51.639178,sad,0.358,0.262,0.0,0.09,0.096,0.358,0.056,0.132
2026-03-05T13:40:51.656099,sad,0.356,0.262,0.0,0.09,0.092,0.356,0.062,0.13
2026-03-05T13:40:51.691421,sad,0.354,0.266,0.0,0.09,0.088,0.354,0.072,0.12
2026-03-05T13:40:51.697068,sad,0.352,0.264,0.0,0.09,0.094,0.352,0.072,0.118
2026-03-05T13:40:51.807105,sad,0.352,0.254,0.0,0.092,0.1,0.352,0.07,0.122
2026-03-05T13:40:51.815524,sad,0.354,0.25,0.0,0.094,0.1,0.354,0.072,0.12
2026-03-05T13:40:51.876472,sad,0.382,0.234,0.0,0.094,0.098,0.382,0.068,0.116
2026-03-05T13:40:51.911800,sad,0.41,0.214,0.0,0.094,0.096,0.41,0.06,0.12
2026-03-05T13:40:52.279616,sad,0.396,0.196,0.0,0.094,0.116,0.396,0.06,0.134
2026-03-05T13:40:52.311804,sad,0.38,0.186,0.0,0.092,0.136,0.38,0.062,0.142
2026-03-05T13:40:52.561186,sad,0.394,0.174,0.0,0.086,0.128,0.394,0.056,0.162
2026-03-05T13:40:52.572988,sad,0.382,0.174,0.0,0.082,0.122,0.382,0.056,0.184
2026-03-05T13:40:59.555145,sad,0.356,0.18,0.0,0.078,0.128,0.356,0.062,0.194
2026-03-05T13:40:59.565119,sad,0.372,0.184,0.0,0.074,0.112,0.372,0.06,0.194
2026-03-05T13:40:59.686977,sad,0.38,0.188,0.0,0.068,0.106,0.38,0.058,0.194
2026-03-05T13:40:59.706861,sad,0.358,0.194,0.0,0.066,0.128,0.358,0.064,0.182
2026-03-05T13:40:59.833640,sad,0.322,0.232,0.0,0.068,0.138,0.322,0.064,0.168
2026-03-05T13:40:59.839766,sad,0.3,0.264,0.0,0.07,0.136,0.3,0.058,0.166
2026-03-05T13:40:59.952819,sad,0.296,0.268,0.0,0.072,0.13,0.296,0.054,0.178
2026-03-05T13:40:59.960618,sad,0.3,0.272,0.0,0.076,0.114,0.3,0.05,0.19
2026-03-05T13:41:00.019627,sad,0.31,0.268,0.0,0.09,0.104,0.31,0.046,0.186
2026-03-05T13:41:00.025285,sad,0.334,0.232,0.0,0.1,0.106,0.334,0.048,0.184
2026-03-05T13:41:00.111961,sad,0.36,0.188,0.0,0.108,0.106,0.36,0.048,0.194
2026-03-05T13:41:00.124724,sad,0.368,0.172,0.0,0.116,0.11,0.368,0.046,0.19
2026-03-05T13:41:00.420903,sad,0.374,0.162,0.0,0.122,0.112,0.374,0.046,0.184
2026-03-05T13:41:00.428103,sad,0.374,0.16,0.0,0.118,0.108,0.374,0.046,0.194
2026-03-05T13:41:00.495676,sad,0.378,0.142,0.0,0.11,0.128,0.378,0.048,0.194
2026-03-05T13:41:00.507203,sad,0.38,0.132,0.0,0.104,0.15,0.38,0.052,0.182
2026-03-05T13:41:02.995819,sad,0.368,0.156,0.0,0.092,0.156,0.368,0.048,0.178
2026-03-05T13:41:03.002206,sad,0.358,0.174,0.0,0.082,0.164,0.358,0.042,0.176
2026-03-05T13:41:03.130717,sad,0.344,0.19,0.0,0.074,0.17,0.344,0.038,0.18
2026-03-05T13:41:03.145004,sad,0.326,0.222,0.0,0.07,0.152,0.326,0.032,0.194
2026-03-05T13:41:03.203525,sad,0.32,0.238,0.0,0.068,0.136,0.32,0.026,0.206
2026-03-05T13:41:03.208809,sad,0.328,0.22,0.0,0.072,0.136,0.328,0.028,0.21
2026-03-05T13:41:03.274131,sad,0.33,0.214,0.0,0.072,0.132,0.33,0.03,0.216
2026-03-05T13:41:03.280014,sad,0.336,0.21,0.0,0.07,0.13,0.336,0.03,0.216
2026-03-05T13:41:03.336285,sad,0.336,0.204,0.0,0.07,0.134,0.336,0.03,0.218
2026-03-05T13:41:03.342946,sad,0.324,0.214,0.0,0.068,0.136,0.324,0.03,0.222
2026-03-05T13:41:03.550977,sad,0.32,0.218,0.0,0.064,0.142,0.32,0.032,0.22
2026-03-05T13:41:03.556741,sad,0.322,0.21,0.0,0.064,0.152,0.322,0.034,0.216
2026-03-05T13:41:03.604145,sad,0.338,0.216,0.0,0.068,0.142,0.338,0.034,0.204
2026-03-05T13:41:03.610365,sad,0.36,0.224,0.0,0.07,0.126,0.36,0.034,0.19
2026-03-05T13:41:03.809581,sad,0.346,0.226,0.002,0.074,0.156,0.346,0.032,0.166
2026-03-05T13:41:03.815522,sad,0.324,0.234,0.004,0.08,0.182,0.324,0.028,0.148
2026-03-05T13:41:03.859536,sad,0.306,0.248,0.004,0.088,0.196,0.306,0.03,0.128
2026-03-05T13:41:03.864556,sad,0.274,0.248,0.004,0.092,0.23,0.274,0.034,0.116
2026-03-05T13:41:03.941795,happy,0.256,0.23,0.004,0.096,0.256,0.25,0.034,0.126
2026-03-05T13:41:03.954206,sad,0.262,0.218,0.002,0.098,0.236,0.262,0.036,0.146
2026-03-05T13:41:04.041505,sad,0.26,0.228,0.0,0.096,0.234,0.26,0.038,0.146
2026-03-05T13:41:04.054538,sad,0.254,0.232,0.0,0.092,0.244,0.254,0.034,0.148
2026-03-05T13:41:04.105130,sad,0.262,0.236,0.0,0.092,0.226,0.262,0.032,0.158
2026-03-05T13:41:04.111105,sad,0.262,0.258,0.0,0.092,0.216,0.262,0.034,0.146
2026-03-05T13:41:04.153716,angry,0.262,0.262,0.0,0.086,0.23,0.258,0.036,0.14
2026-03-05T13:41:04.159931,sad,0.268,0.244,0.0,0.084,0.226,0.268,0.038,0.154
2026-03-05T13:41:04.201979,sad,0.29,0.22,0.0,0.082,0.202,0.29,0.042,0.176
2026-03-05T13:41:04.208154,sad,0.298,0.196,0.0,0.076,0.206,0.298,0.044,0.19
2026-03-05T13:41:04.345253,sad,0.296,0.172,0.0,0.076,0.206,0.296,0.048,0.208
